question_id,question,answer,passage,passage_id,rag_summary,FK_grade
10,Does pregestational maternal obesity impair endocrine pancreas in male F1 and F2 progeny?,"Maternal HF diet consumed during the preconception period and throughout the gestation and lactation periods in mice promotes metabolism and pancreatic programming in F1 and F2 male offspring, implying intergenerational effects.","The aim of this study was to evaluate the effects of maternal obesity on pancreas structure and carbohydrate metabolism in early adult life, focusing on the F1 and F2 generations after F0 maternal pregestational, gestation, and lactation high-fat diet (HF). C57 BL/6 female mice (F0) were fed standard chow (SC) or an HF diet for 8 wk before mating and during the gestation and lactation periods to provide the F1 generation (F1-SC and F1-HF). At 3 mo old, F1 females were mated to produce the F2 generation (F2-SC and F2-HF).",30,Maternal obesity impairs the development of endocrine pancreas in male foetuses.,16.590909090909097
11,Does prolonged P wave duration predict stroke mortality among type 2 diabetic patients with prevalent non-major macrovascular disease?,As an easily measurable factor P wave duration merits further studies with higher number of patients to evaluate its importance in the estimation of stroke risk in type 2 diabetic patients with PNMMVD.,Prolonged P wave duration is a marker of delayed inter-atrial conduction which may predict cardiovascular disease (CVD). Type 2 diabetes is a risk factor for all atherosclerotic manifestations including stroke. We evaluated the prognostic significance of prolonged P wave duration among middle-aged Finnish type 2 diabetes patients with and without prevalent non-major macrovascular disease (PNMMVD) with respect to total and stroke mortality.,33,Prolonged P wave duration predicts stroke mortality among type 2 diabetic patients with prevalent non-major macrovascular disease.,16.028235294117646
12,Does experimental diabetes mellitus type 1 increase hippocampal content of kynurenic acid in rats?,"A novel factor potentially implicated in diabetic hippocampal dysfunction has been identified. Observed increase of KYNA level may stem from the activation of endogenous neuroprotection, however, it may also have negative impact on cognition.","Diabetes mellitus (DM) is frequently associated with peripheral and central complications and has recently emerged as a risk factor for cognitive impairment and dementia. Kynurenic acid (KYNA), a unique tryptophan derivative, displays pleiotropic effects including blockade of ionotropic glutamate and α7 nicotinic receptors. Here, the influence of experimental diabetes on KYNA synthesis was studied in rat brain.",37,Increased kynurenine aminotransferase II activity in striatum and cortex of diabetic mice.,12.690000000000001
13,Does blockade of p38 mitogen-activated protein kinase pathway ameliorate delayed gastric emptying in streptozotocin-induced diabetic rats?,"Inflammation was associated with the development of delayed gastric emptying, and blockade of p38 MAPK pathway with SB203580 ameliorates delayed gastric emptying in diabetic rats, at least in part, by inhibiting the expression of iNOS, TNF-a and IL-1β. Therefore, p38MAPK may serve as a novel target for the therapy of diabetes-related gastrointestinal dysmotility.",Gastrointestinal dysfunction is one of the major complications of diabetes. The roles of inflammation in diabetes and its associated complications are increasingly recognized. p38 mitogen-activated protein kinase (MAPK) has been shown to be involved in the production of pro-inflammatory mediators.,41,Effects of SB203580 on delayed gastric emptying in diabetic rats.,9.55
14,Does ginsenoside Rg3 improve erectile function in streptozotocin-induced diabetic rats?,Oral gavage with Rg3 appears to both prevent degeneration of neurons in the dorsal nerves and exert an antioxidant effect in the corpus cavernosum of rats.,Ginsenoside Rg3 is one of the active ingredients isolated from Panax ginseng C.A. Meyer. Previous studies demonstrated that Rg3 has antioxidant and neuroprotective abilities.,45,Effect of ginsenoside Rg3 on erectile function in streptozotocin-induced diabetic rats.,13.372727272727271
15,Does recipient T cell TIM-3 and hepatocyte galectin-9 signalling protect mouse liver transplants against ischemia-reperfusion injury?,"Harnessing TIM-3/Gal-9 signalling at the T cell-hepatocyte interface facilitates homeostasis in IR-stressed orthotopic liver transplants. Enhancing anti-oxidant hepatocyte Gal-9 potentiates liver IR-resistance. Negative regulation by recipient TIM-3+CD4+ cells provides evidence for cytoprotective functions of a discrete T cell subset, which should be spared when applying T cell-targeted immunosuppression in transplant recipients.","By binding to T cell immunoglobulin mucin-3 (TIM-3) on activated Th1 cells, galectin-9 (Gal-9) negatively regulates Th1-type alloimmunity. Although T cells contribute to hepatic ischemia-reperfusion injury (IRI), it is unknown whether negative T cell-dependent TIM-3 co-stimulation may rescue IR-stressed orthotopic liver transplants from innate immunity-driven inflammation. We used wild type (WT) and TIM-3 transgenic (Tg) mice (C57BL/6) as liver donors and recipients in a clinically-relevant model of hepatic cold storage (20 h at 4°C in UW solution) and syngeneic orthotopic liver transplantation (OLT).",51,T cell immunoglobulin mucin-3 co-stimulation protects IR-stressed orthotopic liver transplants from innate immunity-driven inflammation.,19.37
16,Do obese first-degree relatives of patients with type 2 diabetes with elevated triglyceride levels exhibit increased β-cell function?,"We characterized FDR-T2DM subjects from central Mexico with NGT and revealed a class of obese subjects with elevated TGs and β-cell function, which may precede PT2DM.","Type 2 diabetes mellitus (T2DM) is characterized as a disease continuum that is marked by metabolic changes that are present for several years, sometimes well before frank diagnosis of T2DM. Genetic predisposition, ethnicity, geography, alterations in BMI, and lipid profile are considered important markers for the pathogenesis of T2DM through mechanisms that remain unresolved and controversial. The aim of this study was to investigate the relationship between triglycerides (TGs) and β-cell function, insulin resistance (IR), and insulin sensitivity (IS) in obese first-degree relatives of patients with T2DM (FDR-T2DM) among subjects from central Mexico with normal glucose tolerance (NGT).",54,Increased -cell function in obese first-degree relatives of patients with T2DM.,9.081818181818182
17,Do adolescents and young adults with type 1 diabetes display a high prevalence of endothelial dysfunction?,"Adolescents with type 1 diabetes displayed evidence of endothelial dysfunction. Good metabolic control (glycated haemoglobin ≤7.5%, 58 mmol/mol) and regular physical activity of at least 4 h a week might be protective.","Little is known about endothelial function in adolescents with type 1 diabetes, and we evaluated endothelial dysfunction, using reactive hyperaemia peripheral arterial tonometry (RH-PAT). This prospective, observational, 1-year study focused on 73 adolescents with type 1 diabetes, using multiple daily injections or continuous subcutaneous insulin infusion. The subjects were assessed using RH-PAT, body mass index, blood pressure, fasting lipid profile, glycated haemoglobin, insulin requirements and hours of physical exercise per week.",58,Endothelial function is impaired in adolescents with insulin-dependent diabetes.,18.075555555555557
18,Is the low level of glucagon-like peptide-1 ( glp-1 ) a risk factor of type 2 diabetes mellitus?,From this study it can be concluded that levels of intact GLP-1 are an important risk factor for T2DM in the Indonesian population.,"Glucagon like peptide-1 (GLP-1), an incretin hormone, regulates glucose metabolism by inducing insulin secretion and suppressing glucagon secretion. The aim of the study is to assess the levels of fasting and post-prandial GLP-1 and their risk for T2DM. A case control study was conducted at the diabetes clinic Sanglah Hospital Denpasar Bali, involving 40 subjects who were native Indonesian citizens and 18-70 years of age.",60,Low levels of glucagon-like peptide-1 ( GLP-1 ) may be a risk factor for prediabetes.,7.633846153846157
19,Do serum miRNA biomarkers serve as a fingerprint for proliferative diabetic retinopathy?,"These data provide evidence that serum miRNAs have the potential to be sensitive, cost-effective biomarkers for the early detection of PDR. These biomarkers could serve as a dynamic monitoring factor for detecting the progression of PDR from NPDR.","Diabetic retinopathy (DR) is a retinopathy resulting from diabetes mellitus (DM) which was classified into non-proliferative DR (NPDR) and proliferative DR (PDR). Without an early screening and effective diagnosis, patients with PDR will develop serious complications. Therefore, we sought to identify special serum microRNAs (miRNAs) that can serve as a novel non-invasive screening signature of PDR and test its specificity and sensitivity in the early diagnosis of PDR.",63,Our results demonstrate that miR-200b is a novel biomarker of proliferative diabetic retinopathy.,13.98769230769231
20,Is higher fasting glucose next day after intravenous thrombolysis independently associated with poor outcome in acute ischemic stroke?,FG is a powerful predictor associated with the outcome in IVT-treated AIS patients independent of AG and HbA1c.,"We aimed to test the outcome-predictive power of routine fasting glucose (FG) obtained at second day after onset in intravenous thrombolysis (IVT) acute ischemic stroke (AIS) patients. We identified AIS patients presenting to our institution between December 2011 and July 2013 within 4.5 hours of onset, who received admission glucose (AG) before IVT, FG, and glycated hemoglobin (HbA1c) the second day after admission, from our prospectively recorded stroke database. Multivariate logistic regression was used to assess the association of FG and 90-day modified Rankin Scale (mRS).",67,Our results demonstrate that admission glucose >8.0 mmol/l is independently associated with poor outcome in acute ischemic stroke after intravenous thrombolysis.,14.35261904761905
21,Does deficiency in Nrf2 transcription factor decrease adipose tissue mass and hepatic lipid accumulation in leptin-deficient mice?,Nrf2 deficiency in Lep(ob/ob) mice reduced white adipose tissue mass and prevented hepatic lipid accumulation but induced insulin resistance and dyslipidemia. This study indicates a dual role of Nrf2 during metabolic dysregulation-increasing lipid accumulation in liver and white adipose tissue but preventing lipid accumulation in obese mice.,"To evaluate whether Nrf2 deficiency impacts insulin resistance and lipid accumulation in liver and white adipose tissue. Lep(ob/ob) mice (OB) with targeted Nrf2 deletion (OB-Nrf2KO) were generated. Pathogenesis of obesity and type 2 diabetes was measured in C57BL/6J, Nrf2KO, OB, and OB-Nrf2KO mice.",70,Nrf2 deficiency affects insulin resistance and lipid accumulation in liver and white adipose tissue.,16.84142857142857
22,Does clinical trial demonstrate exercise following bariatric surgery improves insulin sensitivity?,"Moderate exercise following RYGB surgery provides additional improvements in S(I), S(G), and cardiorespiratory fitness compared with a sedentary lifestyle during similar weight loss.","Roux-en-Y gastric bypass (RYGB) surgery causes profound weight loss and improves insulin sensitivity (S(I)) in obese patients. Regular exercise can also improve S(I) in obese individuals; however, it is unknown whether exercise and RYGB surgery-induced weight loss would additively improve S(I) and other cardiometabolic factors. We conducted a single-blind, prospective, randomized trial with 128 men and women who recently underwent RYGB surgery (within 1-3 months).",73,"We conducted a single-blind, prospective, randomized trial with 128 men and women who recently underwent RYGB surgery (within 1-3 months)",14.040000000000003
23,Is low transferrin saturation associated with impaired fasting glucose and insulin resistance in the South Korean adults?,Lower transferrin saturations were associated with an increased risk of impaired fasting glucose and insulin resistance among general South Korean population.,The associations of transferrin saturation with diabetes have not been well evaluated and conflicting results have been reported. The purpose of this study is to examine the association of iron indices (serum ferritin and transferrin saturation) with risk of impaired fasting glucose and insulin resistance. We conducted a cross-sectional study in 2413 individuals (1150 men and 1263 women) aged 20-50 years who participated in the 2010 Korean National Health and Nutrition Examination Survey.,78,Low transferrin saturation is associated with impaired fasting glucose and insulin resistance in the South Korean adults.,16.028235294117646
24,Is premature ejaculation associated with glycemic control in Type 1 diabetes?,"Our results show a similar prevalence of PE in young male patients with Type 1 diabetes and in the age-matched control population; in diabetic patients with PE, a higher glycemic variability in the hypoglycemic domain is significantly associated with the PEDT score.",Premature ejaculation (PE) is the most common male sexual dysfunction. Its prevalence in Type 1 diabetes is unknown. The aim of this study was to assess the prevalence of PE in Type 1 diabetes and the influence of glycemic control on ejaculatory function.,81,Prevalence of premature ejaculation in Type 1 diabetes.,15.555000000000003
25,Does receipt of diabetes preventive services differ by insurance status at visit?,"Lack of insurance is associated with a lower probability of receiving recommended services that are due during a clinic visit. Thus, the association between being uninsured and receiving fewer preventive services may not be completely mediated by access to clinic visits.","Lack of insurance is associated with suboptimal receipt of diabetes preventive care. One known reason for this is an access barrier to obtaining healthcare visits; however, little is known about whether insurance status is associated with differential rates of receipt of diabetes care during visits. To examine the association between health insurance and receipt of diabetes preventive care during an office visit.",85,Association between insurance status and receipt of diabetes preventive care during an office visit.,15.99857142857143
26,Does exome sequencing identify novel ApoB loss-of-function mutations causing hypobetalipoproteinemia in type 1 diabetes?,The identification of ApoB loss-of-function mutations in type 1 diabetic patients presents innovative cases to study the interaction between hypobetalipoproteinemia and insulin deficiency.,"Diabetic patients commonly suffer from disturbances in production and clearance of plasma lipoproteins, known as diabetic dyslipidemia, resulting in an increased risk of coronary heart disease. The study aimed to examine the cause of hypobetalipoproteinemia in two patients with type 1 diabetes. The Diabetes Control and Complications Trial (DCCT) is a study demonstrating that intensive blood glucose control delays the onset and progression of type 1 diabetes complications.",88,We identify novel ApoB loss-of-function mutations causing hypobetalipoproteinemia in type 1 diabetes.,19.57333333333334
27,Does percent reduction of growth hormone levels correlate closely with percent resected tumor volume in acromegaly?,"Densely granulated somatotropinomas produce more GH per mass of tumor than do sparsely granulated tumors. Each GH-secreting tumor has its own intrinsic level of GH production per mass of tumor, which is homogeneous over the tumor mass, and which varies greatly between tumors. In most patients the fraction of a GH-secreting tumor removed by surgery can be accurately estimated by simply comparing plasma GH levels after surgery to those before surgery.","Correlation between tumor volume and hormone levels in individual patients would permit calculation of the fraction of tumor removed by surgery, by measuring postoperative hormone levels. The goals of this study were to examine the relationship between tumor volume, growth hormone (GH), and insulin-like growth factor-1 (IGF-1) levels, and to assess the correlation between percent tumor removal and the reduction in plasma GH and IGF-1 in patients with acromegaly. The 3D region of interest-based volumetric method was used to measure tumor volume via MRI before and after surgery in 11 patients with GH-secreting adenomas.",91,Correlation between tumor volume and hormone levels in patients with acromegaly.,10.154545454545456
28,Is glycemic variability evaluated by continuous glucose monitoring system associated with the 10-y cardiovascular risk of diabetic patients with well-controlled HbA1c?,GV predicts independently the 10-y CVD risk of T2DM patients with well-controlled HbA1c.,"The present study aimed to identify the relationship between glycemic variability (GV) and the 10-y risk of cardiovascular disease (CVD) in type 2 diabetes mellitus (T2DM) patients with good glycemic control. Two-hundred forty consecutive T2DM patients (HbA1c≤7.0%) without CVD were included to calculate the 10-y CVD risk by Framingham risk score (FRS), and divided into 3 groups: low-risk group (FRS≤10%), intermediate-risk group (>10%, ≤20%) and high-risk group (>20%). Inter-group differences of GV were determined by comparing the SD of blood glucose (SDBG), mean amplitudes of glycemic excursion (MAGE), and mean of daily differences (MODD) gathered from 72-h continuous glucose monitoring system.",94,Glycemic variability is associated with the 10-y cardiovascular risk of T2DM patients with good glycemic control.,17.2
29,Does periodontitis promote the diabetic development of obese rat via miR-147 induced classical macrophage activation?,"This study provided new evidence for the positive effect of periodontal inflammation on diabetic development, while the regulatory mechanism of miR-147 on classical macrophage activation, was verified, and presumed to contribute to the impaired glucose tolerance aggravated by periodontitis in obese rats. Besides, this study indicated the application of miR-147 for therapeutic approach in the treatment of diabetes with periodontitis.","Emerging evidence has indicated the bad effect of periodontal inflammation on diabetes control. However, the exact regulatory mechanisms within the association between periodontitis and diabetic development remain unclear. This study aims to investigate the function of microRNAs in regulating periodontitis-induced inflammation in an obese rat model.",96,Our results suggest that periodontitis promotes diabetic development in an obese rat model via miR-147 induced classical macrophage activation.,19.146315789473686
30,"Are high levels of serum vitamin D associated with a decreased risk of metabolic diseases in both men and women, but an increased risk for coronary artery calcification in Korean men?","High levels of serum vitamin D were associated with lower risk of MS, IR and FL in both Korean men and women, but were associated with higher risk of CAC only in men, and not in women.","There are conflicting results for relationships between serum vitamin D levels and metabolic diseases. The aim of this study was to investigate whether serum vitamin D levels were associated with various metabolic diseases including insulin resistance (IR), metabolic syndrome (MS), fatty liver (FL), and coronary artery calcification (CAC), along with assessing gender differences for these relationships in Korean adults. A total of 180,918 subjects (98,412 men and 82,506 women) who participated in a comprehensive health examination in the 2012-2013 period at Kangbuk Samsung Hospital, College of Medicine, Sungkyunkwan University were included.",99,Increased risk of coronary artery calcification in Korean men is associated with dietary and supplemental vitamin D intake,19.618888888888893
31,Is progranulin increased in human and murine lipodystrophy?,"Progranulin serum concentration is increased in patients with LD, and shows an independent and positive correlation with CRP. Different adipose tissue depots and muscle might be potential origins of elevated progranulin.","Lipodystrophies (LD) are genetic or acquired disorders sharing the symptom of partial or complete adipose tissue deficiency and a dysregulation of adipokines including leptin and adiponectin. Progranulin, an adipokine with proinflammatory and insulin resistance-inducing characteristics, has not been investigated in LD so far. Circulating progranulin was determined in LD patients (N=37) and in age-, gender-, and body mass index-matched healthy control subjects (N=37).",102,Progranulin levels did not significantly change during metreleptin supplementation.,16.764444444444447
32,Does autophagy protect human podocytes from high glucose-induced injury by preventing insulin resistance?,"The presence or activation of autophagy was found to play a protective role in human podocytes against high glucose-induced insulin resistance and cell injury, which indicates a novel cellular mechanism and provides a potential therapeutic target for diabetic nephropathy (DN).","Insulin resistance is correlated with the progress of albuminuria in diabetic patients, and podocytes are crucial for maintaining the normal function of the glomerular filtration barrier. In the present study, we aimed to investigate the high glucose-induced insulin resistance and cell injury in human podocytes and the putative role of autophagy in this process. Human podocytes were cultured in high glucose-supplemented medium and low glucose and high osmotic conditions were used for the controls.",106,Autophagy in human podocytes prevents insulin resistance and cell injury.,10.73
33,Does ischemic post-conditioning attenuate renal ischemic reperfusion injury via down-regulation of toll-like receptor 4 in diabetic rats?,"Taken together, our results suggest that proper IPO may have protective effect on the ischemic injury mediated by renal I/R, which might be associated with inhibition of TLR4 signaling pathway in diabetic rats.","Ischemia/reperfusion (I/R) injury, which is commonly seen in the field of renal surgery or transplantation, is a major cause of acute renal failure (ARF). The ischemic ARF in diabetic rats is much more severe than that in the normal rats exposed to as same ischemic time. Ischemic post-conditioning (IPO) is a phenomenon by which intermittent interruptions of blood flow in the early phase of reperfusion can protect organs from I/R injury.",109,Ischemic post-conditioning attenuates renal ischemic reperfusion injury via down-regulation of toll-like receptor 4,23.06461538461539
34,Is elevated estimated arterial age associated with metabolic syndrome and low-grade inflammation?,"Elevated eAA was associated with male sex, higher plasma glucose, and soluble urokinase plasminogen activator receptor and known CVD independently of age, SBP, and heart rate.","Arterial age can be estimated from equations relating arterial stiffness to age and blood pressure in large cohorts. We investigated whether estimated arterial age (eAA) was elevated in patients with the metabolic syndrome and/or known cardiovascular disease (CVD), which factors were associated with eAA and whether eAA added prognostic information. In 1993, 2366 study participants, 41, 51, 61, and 71 years old, had traditional cardiovascular risk factors and carotid-femoral pulse wave velocity (cfPWV) measured.",112,Elevated estimated arterial age is associated with metabolic syndrome and low-grade inflammation in elderly subjects.,20.94
35,Are diabetes and increased lipid peroxidation associated with systemic inflammation even in well-controlled patients?,"These findings show that dyslipidemia is associated with an increased inflammatory status, even in well-controlled diabetics and in normoglycemics. Our results suggest that lipid metabolism and peroxidation are important for the development of inflammation, which is elevated in several complications associated with diabetes.","The effect of the interaction between type 2 diabetes and dyslipidemia on inflammation and lipid peroxidation (LPO) has not been assessed. To investigate whether diabetes coupled with dyslipidemia alters oxidative metabolism leading to increased LPO products and inflammatory status. 100 patients were divided into four groups based upon diabetic and dyslipidemic status: poorly controlled diabetes with dyslipidemia (DM-PC/D), well-controlled diabetes with dyslipidemia (DM-WC/D), normoglycemic individuals with dyslipidemia (NG/D), and normoglycemic individuals without dyslipidemia (NG/ND).",115,Tight glucose control affects systemic inflammation in diabetic patients.,15.453333333333337
36,Are serum levels of copeptin associated with type 2 diabetes and diabetic complications in Chinese population?,"Using a post-hoc analysis our data show that elevated serum levels of copeptin are associated with type 2 diabetes and diabetic complications in Chinese population, suggesting a potential role of the AVP system (copeptin) in the pathophysiology of diabetes.","The aim of this study was to investigate copeptin levels in serum, and assess their associations with type 2 diabetes (T2DM) and diabetic complications. In this post hoc analysis, serum levels of copeptin were tested in 306 patients with T2DM. Clinical information including diabetic retinopathy (DR) and diabetic nephropathy (DN) were collected.",118,Serum levels of copeptin are associated with type 2 diabetes and diabetic complications in Chinese population.,16.462500000000002
37,Is carotid stiffness associated with impairment of cognitive performance in individuals with and without type 2 diabetes . The Maastricht Study?,"Our findings suggest that carotid stiffness is associated with cognitive performance in both individuals with and without diabetes, but does not mediate the relationship between type 2 diabetes and cognitive dysfunction.","There is increasing evidence linking arterial (mainly aortic) stiffness and type 2 diabetes, a risk factor for arterial stiffness, to cognitive impairment and dementia. However, data on carotid stiffness, which may be especially relevant for cognitive performance, are scarce, and few studies have addressed the interplay between arterial stiffness, type 2 diabetes, and cognitive performance. We studied individuals with (n = 197) and without (n = 528) type 2 diabetes, who completed a neuropsychological test battery and underwent applanation tonometry and vascular ultrasound to evaluate aortic (i.e.",121,Carotid stiffness is associated with worse cognitive performance in individuals with and without type 2 diabetes.,16.462500000000002
38,Is plasma MicroRNA-126-5p Associated with the Complexity and Severity of Coronary Artery Disease in Patients with Stable Angina Pectoris?,Circulating miR-126-5p has emerged as a potential biomarker for complexity and severity of CAD in patients with stable angina pectoris.,"Coronary artery disease (CAD) is a major problem worldwide. As an endothelium-enriched microRNA (miRNA), miR-126 has been reported to serve as a potential biomarker of acute myocardial infarction. However, the relationship between miR-126 and the severity of CAD remains unknown.",124,"This study enrolled 40 patients who had risk factors for CAD without angiographically significant CAD, and 110 patients presenting with stable angina pectoris, who were validated left main coronary artery disease and/or multi-vessel disease by coronary angiography",23.715675675675673
39,Are fundus autofluorescence lifetimes increased in non-proliferative diabetic retinopathy?,Fundus Fluorescence lifetimes are significantly increased in NPDR while lens lifetimes are shorter in the patient group. Lifetime changes might be indicative for the accumulation of advanced glycation end products (AGEs) which enables detection of the disease with high sensitivity and specificity possibly bearing diagnostic merit.,"To discriminate non-proliferative diabetic retinopathy (NPDR) patients from healthy controls by fluorescence lifetime imaging ophthalmoscopy (FLIO). A prototype FLIO (Heidelberg-Engineering, Heidelberg, Germany) was used to examine the retina of 33 patients and 28 controls. As increased fluorescence of the diabetic lens is known, the lenses of 34 patients and 24 controls were investigated as well.",127,Increased fluorescence of the diabetic lens,12.316666666666666
